dispnum,y_avgdur,year,outcome,settle,recip,a_country,a_rev_territory,a_rev_policy,a_rev_regime,a_rev_other,a_fatalities,a_hiact,a_hostlev,a_orig,a_coalition,b_country,b_rev_territory,b_rev_policy,b_rev_regime,b_rev_other,b_fatalities,b_hiact,b_hostlev,b_orig,b_coalition
3551,1540.0,1992,1,1,1,coalition,0,1,0,0,0,15,4,1,13.0,345,0,0,0,0,0,15,4,1,0.0
3552,515.0,1992,5,3,0,coalition,0,0,0,0,0,17,4,1,5.0,645,0,1,0,0,0,17,4,1,0.0
3554,23.0,1992,5,3,0,339,0,1,0,0,0,11,3,1,0.0,345,0,0,0,0,0,0,1,1,0.0
3555,173.0,1992,5,3,1,344,0,0,0,0,0,17,4,1,0.0,345,1,0,0,0,0,17,4,1,0.0
3556,7.0,1992,6,1,1,344,1,0,0,0,0,17,4,1,0.0,346,0,0,0,0,0,17,4,1,0.0
3557,295.0,1992,5,3,1,345,1,0,0,0,0,17,4,1,0.0,346,0,0,0,0,0,17,4,1,0.0
3558,113.0,1992,6,1,1,365,0,0,0,0,0,17,4,1,0.0,359,0,0,0,0,0,17,4,1,0.0
3559,1.0,1992,5,3,0,365,0,1,0,0,0,15,4,1,0.0,369,0,0,0,0,0,0,1,1,0.0
3560,7.0,1992,5,3,1,365,0,0,0,0,0,17,4,1,0.0,366,0,0,0,0,0,17,4,1,0.0
3561,501.0,1992,2,2,1,365,0,1,0,0,0,17,4,1,0.0,372,0,1,0,0,0,17,4,1,0.0
3563,6.0,1992,5,3,1,365,0,0,0,0,0,12,3,1,0.0,380,0,1,0,0,0,16,4,1,0.0
3564,1087.0,1992,5,3,1,coalition,0,1,0,0,0,17,4,1,1.0,coalition,0,1,0,0,0,17,4,1,2.0
3565,1.0,1992,5,3,0,433,0,1,0,0,0,16,4,1,0.0,404,0,0,0,0,0,0,1,1,0.0
3566,157.0,1992,5,3,1,630,0,1,0,0,0,16,4,1,0.0,645,0,0,0,0,0,7,3,1,0.0
3567,4.0,1992,5,3,0,630,1,0,0,0,0,7,3,1,0.0,696,0,0,0,0,0,0,1,1,0.0
3568,453.0,1992,5,3,1,645,1,0,0,0,0,17,4,1,0.0,coalition,0,0,0,0,0,17,4,1,3.0
3569,24.0,1992,6,1,0,670,1,0,0,0,0,14,4,1,0.0,694,1,0,0,0,0,0,1,1,0.0
3570,1.0,1992,5,3,1,731,1,0,0,0,0,17,4,1,0.0,732,1,0,0,0,0,17,4,1,0.0
3572,1.0,1992,5,3,0,750,0,1,0,0,0,16,4,1,0.0,910,0,0,0,0,0,0,1,1,0.0
