dispnum,incidnum,y_duration,year,a_country,a_rev_territory,a_rev_policy,a_rev_regime,a_rev_other,a_fatalities,a_hiact,a_hostlev,a_coalition,b_country,b_rev_territory,b_rev_policy,b_rev_regime,b_rev_other,b_fatalities,b_hiact,b_hostlev
3551,3551010,1.0,1993,2,0,1,0,0,0,1,2,0.0,345,0,0,0,0,0,0,1
3551,3551002,1404.0,1992,coalition,0,1,0,0,0,13,4,8.0,345,0,0,0,0,0,0,1
3551,3551001,1.0,1992,coalition,0,1,0,0,0,7,3,12.0,345,0,0,0,0,0,0,1
3551,3551009,185.0,1993,2,0,1,0,0,0,13,4,0.0,345,0,0,0,0,0,0,1
3551,3551008,1.0,1993,coalition,0,1,0,0,0,7,3,2.0,345,0,0,0,0,0,0,1
3551,3551006,1.0,1993,360,0,1,0,0,0,15,4,0.0,345,0,0,0,0,0,0,1
3551,3551005,1.0,1993,360,0,0,0,0,0,0,1,0.0,345,0,1,0,0,0,15,4
3551,3551007,1.0,1993,2,0,1,0,0,0,1,2,0.0,345,0,0,0,0,0,0,1
3552,3552008,3.0,1993,690,0,1,0,0,0,8,3,0.0,645,0,0,0,0,0,0,1
3552,3552011,1.0,1993,coalition,0,1,0,0,0,8,3,2.0,645,0,0,0,0,0,0,1
3552,3552002,1.0,1992,2,0,1,0,0,0,16,4,0.0,645,1,0,0,0,0,0,1
3552,3552031,1.0,1993,2,0,1,0,0,0,16,4,0.0,645,0,0,0,0,0,0,1
3552,3552022,1.0,1993,coalition,0,1,0,0,0,16,4,1.0,645,0,0,0,0,0,0,1
3552,3552018,1.0,1993,2,0,0,0,1,0,17,4,0.0,645,0,0,0,1,0,17,4
3552,3552032,1.0,1993,2,0,1,0,0,0,17,4,0.0,645,0,1,0,0,0,17,4
3552,3552007,1.0,1993,coalition,1,1,0,0,0,1,2,3.0,645,0,0,0,0,0,0,1
3552,3552012,1.0,1993,coalition,0,0,0,1,0,17,4,2.0,645,0,0,0,1,0,17,4
3552,3552027,1.0,1993,2,0,1,0,0,0,16,4,0.0,645,0,0,0,0,0,0,1
3552,3552003,22.0,1992,coalition,0,1,0,0,0,7,3,1.0,645,1,0,0,0,0,0,1
3552,3552021,1.0,1993,coalition,0,0,0,1,0,16,4,2.0,645,0,0,0,0,0,0,1
3552,3552014,1.0,1993,coalition,0,1,0,0,0,1,2,3.0,645,0,0,0,0,0,0,1
3552,3552025,1.0,1993,2,0,1,0,0,0,17,4,0.0,645,0,1,0,0,0,17,4
3552,3552009,1.0,1993,2,0,0,0,0,0,0,1,0.0,645,0,1,0,0,0,8,3
3552,3552001,1.0,1992,2,0,1,0,0,0,7,3,0.0,645,1,0,0,0,0,0,1
3552,3552033,1.0,1993,2,0,1,0,0,0,17,4,0.0,645,0,1,0,0,0,17,4
3552,3552024,1.0,1993,2,0,1,0,0,0,17,4,0.0,645,0,1,0,0,0,17,4
3552,3552006,1.0,1993,2,0,0,0,0,0,0,1,0.0,645,0,1,0,0,0,7,3
3552,3552017,5.0,1993,2,0,1,0,0,0,17,4,0.0,645,0,1,0,0,0,17,4
3552,3552016,1.0,1993,2,0,0,0,0,0,0,1,0.0,645,0,1,0,0,0,1,2
3552,3552005,1.0,1992,coalition,0,1,0,0,0,7,3,0.0,645,1,0,0,0,0,0,1
3552,3552019,3.0,1993,coalition,0,1,0,0,0,16,4,2.0,645,0,0,0,0,0,0,1
3552,3552030,4.0,1993,670,0,0,0,0,0,0,1,0.0,645,0,1,0,0,0,16,4
3552,3552020,1.0,1993,690,0,1,0,0,0,17,4,0.0,645,0,1,0,0,0,17,4
3552,3552029,1.0,1993,2,0,1,0,0,0,16,4,0.0,645,0,0,0,0,0,0,1
3552,3552004,1.0,1992,690,0,1,0,0,0,8,3,2.0,645,1,0,0,0,0,0,1
3552,3552010,1.0,1993,2,0,0,0,0,0,0,1,0.0,645,0,1,0,1,0,7,3
3552,3552013,1.0,1993,2,0,1,0,0,0,1,2,0.0,645,0,0,0,0,0,0,1
3552,3552015,1.0,1993,2,0,1,0,0,0,1,2,0.0,645,0,0,0,0,0,0,1
3552,3552023,1.0,1993,2,0,1,0,0,0,16,4,0.0,645,0,0,0,0,0,0,1
3552,3552026,1.0,1993,2,0,1,0,0,0,16,4,0.0,645,0,0,0,0,0,0,1
3552,3552028,1.0,1993,2,0,1,1,0,0,7,3,0.0,645,0,0,0,0,0,0,1
3555,3555005,1.0,1992,344,1,0,0,0,0,17,4,0.0,345,1,0,0,0,0,17,4
3555,3555001,1.0,1992,344,1,0,0,0,0,17,4,0.0,345,1,0,0,0,0,17,4
3555,3555008,1.0,1992,344,1,0,0,0,0,17,4,0.0,345,1,0,0,0,0,17,4
3555,3555004,34.0,1992,344,1,0,0,0,0,17,4,0.0,345,1,0,0,0,0,17,4
3555,3555007,1.0,1992,344,1,0,0,0,0,17,4,0.0,345,1,0,0,0,0,17,4
3555,3555009,1.0,1992,344,1,0,0,0,0,11,3,0.0,345,0,0,0,0,0,0,1
3555,3555006,1.0,1992,344,0,0,0,0,0,0,1,0.0,345,1,0,0,0,0,16,4
3555,3555003,5.0,1992,344,1,0,0,0,0,17,4,0.0,345,1,0,0,0,0,17,4
3555,3555002,1.0,1992,344,0,0,0,0,0,0,1,0.0,345,1,0,0,0,0,12,3
3556,3556002,1.0,1992,344,0,0,0,0,0,0,1,0.0,346,1,1,0,0,0,11,3
3556,3556001,9.0,1992,344,1,0,0,0,0,17,4,0.0,346,1,0,0,0,0,17,4
3557,3557003,3.0,1992,345,1,0,0,0,0,17,4,0.0,346,1,0,0,0,0,17,4
3557,3557005,1.0,1992,345,1,0,0,0,0,16,4,0.0,346,0,0,0,0,0,0,1
3557,3557004,1.0,1992,345,1,0,0,0,0,17,4,0.0,346,1,0,0,0,0,17,4
3557,3557010,2.0,1993,345,1,0,0,0,0,17,4,0.0,346,1,0,0,0,0,17,4
3557,3557002,1.0,1992,345,1,0,0,0,0,17,4,0.0,346,1,0,0,0,0,17,4
3557,3557011,1.0,1993,345,1,0,0,0,0,8,3,0.0,346,0,0,0,0,0,0,1
3557,3557007,1.0,1992,345,1,0,0,0,0,17,4,0.0,346,1,0,0,0,0,17,4
3557,3557006,1.0,1992,345,1,0,0,0,0,17,4,0.0,346,1,0,0,0,0,17,4
3557,3557009,1.0,1992,345,1,0,0,0,0,16,4,0.0,346,0,0,0,0,0,0,1
3557,3557001,1.0,1992,345,0,1,0,0,0,7,3,0.0,346,0,0,0,0,0,0,1
3557,3557008,1.0,1992,345,1,0,0,0,0,16,4,0.0,346,0,0,0,0,0,0,1
3561,3561012,1.0,1993,365,0,1,0,0,0,16,4,0.0,372,0,0,0,0,0,0,1
3561,3561002,1.0,1992,365,0,1,0,0,0,16,4,0.0,372,0,0,0,0,0,0,1
3561,3561023,1.0,1993,365,0,1,0,0,0,12,3,0.0,372,0,0,0,0,0,0,1
3561,3561010,1.0,1993,365,1,1,0,0,0,16,4,0.0,372,0,0,0,0,0,0,1
