dispnum,incidnum,ccode,year,incid_a,side_a,fatality,action,hostlev,rev_territory,rev_policy,rev_regime,rev_other,allies
3551,3551001,USA,1992,1,1,2.0,7,3,0.0,1.0,0.0,0.0,12.0
3551,3551001,CAN,1992,1,1,2.0,7,3,0.0,1.0,0.0,0.0,12.0
3551,3551001,UKG,1992,1,1,2.0,7,3,0.0,1.0,0.0,0.0,12.0
3551,3551001,NTH,1992,1,1,2.0,7,3,0.0,1.0,0.0,0.0,12.0
3551,3551001,BEL,1992,1,1,2.0,7,3,0.0,1.0,0.0,0.0,12.0
3551,3551001,FRN,1992,1,1,2.0,7,3,0.0,1.0,0.0,0.0,12.0
3551,3551001,SPN,1992,1,1,2.0,7,3,0.0,1.0,0.0,0.0,12.0
3551,3551001,POR,1992,1,1,2.0,7,3,0.0,1.0,0.0,0.0,12.0
3551,3551001,GMY,1992,1,1,2.0,7,3,0.0,1.0,0.0,0.0,12.0
3551,3551001,ITA,1992,1,1,2.0,7,3,0.0,1.0,0.0,0.0,12.0
3551,3551001,YUG,1992,0,0,2.0,0,1,0.0,0.0,0.0,0.0,0.0
3551,3551001,GRC,1992,1,1,2.0,7,3,0.0,1.0,0.0,0.0,12.0
3551,3551001,DEN,1992,1,1,2.0,7,3,0.0,1.0,0.0,0.0,12.0
3551,3551001,TUR,1992,1,1,2.0,7,3,0.0,1.0,0.0,0.0,12.0
3551,3551002,USA,1993,1,1,2.0,13,4,0.0,1.0,0.0,0.0,8.0
3551,3551002,UKG,1993,1,1,2.0,13,4,0.0,1.0,0.0,0.0,8.0
3551,3551002,NTH,1993,1,1,2.0,13,4,0.0,1.0,0.0,0.0,8.0
3551,3551002,BEL,1993,1,1,2.0,13,4,0.0,1.0,0.0,0.0,8.0
3551,3551002,FRN,1993,1,1,2.0,13,4,0.0,1.0,0.0,0.0,8.0
3551,3551002,SPN,1993,1,1,2.0,13,4,0.0,1.0,0.0,0.0,8.0
3551,3551002,GMY,1993,1,1,2.0,13,4,0.0,1.0,0.0,0.0,8.0
3551,3551002,ITA,1993,1,1,2.0,13,4,0.0,1.0,0.0,0.0,8.0
3551,3551002,YUG,1993,0,0,2.0,0,1,0.0,0.0,0.0,0.0,0.0
3551,3551002,GRC,1993,1,1,2.0,13,4,0.0,1.0,0.0,0.0,8.0
3551,3551003,USA,1993,1,1,0.0,7,3,0.0,1.0,0.0,0.0,2.0
3551,3551003,UKG,1993,1,1,0.0,7,3,0.0,1.0,0.0,0.0,2.0
3551,3551003,FRN,1993,1,1,0.0,7,3,0.0,1.0,0.0,0.0,2.0
3551,3551003,YUG,1993,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
3551,3551004,UKG,1993,1,1,0.0,7,3,0.0,1.0,0.0,0.0,0.0
3551,3551004,YUG,1993,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
3551,3551005,YUG,1993,1,0,0.0,15,4,0.0,1.0,0.0,0.0,0.0
3551,3551005,RUM,1993,0,1,0.0,0,1,0.0,0.0,0.0,0.0,0.0
3551,3551006,YUG,1993,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
3551,3551006,RUM,1993,1,1,0.0,15,4,0.0,1.0,0.0,0.0,0.0
3551,3551007,USA,1993,1,1,0.0,1,2,0.0,1.0,0.0,0.0,0.0
3551,3551007,YUG,1993,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
3551,3551008,USA,1993,1,1,0.0,7,3,0.0,1.0,0.0,0.0,2.0
3551,3551008,NTH,1993,1,1,0.0,7,3,0.0,1.0,0.0,0.0,2.0
3551,3551008,FRN,1993,1,1,0.0,7,3,0.0,1.0,0.0,0.0,2.0
3551,3551008,YUG,1993,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
3551,3551009,USA,1993,1,1,0.0,13,4,0.0,1.0,0.0,0.0,0.0
3551,3551009,YUG,1993,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
3551,3551010,USA,1993,1,1,0.0,1,2,0.0,1.0,0.0,0.0,0.0
3551,3551010,YUG,1993,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0
3552,3552001,USA,1992,1,1,2.0,7,3,0.0,1.0,0.0,0.0,0.0
3552,3552001,IRQ,1992,0,0,2.0,0,1,1.0,0.0,0.0,0.0,0.0
3552,3552002,USA,1992,1,1,2.0,16,4,0.0,1.0,0.0,0.0,0.0
